archetype_key,zh,pinyin,category,en,es,ja,ko,th,vi,basis,status
bazi:wuxing:mushenghuo,木生火,mùshēnghuǒ,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:huoshengtu,火生土,huǒshēngtǔ,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:tushengjin,土生金,tǔshēngjīn,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:jinshengshui,金生水,jīnshēngshuǐ,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:shuishengmu,水生木,shuǐshēngmù,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:muketu,木克土,mùkètǔ,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:tukeshui,土克水,tǔkèshuǐ,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:shuikehuo,水克火,shuǐkèhuǒ,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:huokejin,火克金,huǒkèjīn,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:jinkemu,金克木,jīnkèmù,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:xiangcheng,相乘,xiāngchéng,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:xiangwu,相侮,xiāngwǔ,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:muzhugan,木主肝,mùzhǔgān,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:huozhuxin,火主心,huǒzhǔxīn,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:tuzhupi,土主脾,tǔzhǔpí,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:jinzhufei,金主肺,jīnzhǔfèi,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:shuizhushen,水主肾,shuǐzhǔshèn,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:muxinghangye,木行行业,mùxínghángyè,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:huoxinghangye,火行行业,huǒxínghángyè,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:tuxinghangye,土行行业,tǔxínghángyè,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:jinxinghangye,金行行业,jīnxínghángyè,五行,—,—,—,—,—,—,,tier2_pending
bazi:wuxing:shuixinghangye,水行行业,shuǐxínghángyè,五行,—,—,—,—,—,—,,tier2_pending
bazi:shishen:bijian,比肩,bǐjiān,十神,Friend,Compañero,比肩,비견,ปี้เจี้ยน,Tỷ Kiến,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:jiecai,劫财,jiécái,十神,Rob Wealth,Roba Riqueza,劫財,겁재,เจี๋ยไฉ่,Kiếp Tài,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:shishen,食神,shíshén,十神,Eating God,Dios Comedor,食神,식신,สือเซิน,Thực Thần,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:shangguan,伤官,shāngguān,十神,Hurting Officer,Oficial Dañino,傷官,상관,ซางกวน,Thương Quan,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:zhengcai,正财,zhèngcái,十神,Direct Wealth,Riqueza Directa,正財,정재,จิ้งไฉ่,Chính Tài,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:piancai,偏财,piāncái,十神,Indirect Wealth,Riqueza Indirecta,偏財,편재,เทียนไฉ่,Thiên Tài,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:zhengguan,正官,zhèngguān,十神,Direct Officer,Oficial Directo,正官,정관,จิ้งกวน,Chính Quan,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:qisha,七杀,qīshā,十神,Seven Killings,Siete Asesinatos,七殺,칠살,ฉีซา,Thất Sát,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:zhengyin,正印,zhèngyìn,十神,Direct Resource,Recurso Directo,正印,정인,จิ้งอิน,Chính Ấn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:pianyin,偏印,piānyìn,十神,Indirect Resource,Recurso Indirecto,偏印,편인,เทียนอิน,Thiên Ấn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:shangguanjianguan,伤官见官,shāngguānjiànguān,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:shishenzhisha,食神制杀,shíshénzhìshā,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:guanyinxiangsheng,官印相生,guānyìnxiāngshēng,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:caiguanshuangmei,财官双美,cáiguānshuāngměi,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:shayinxiangsheng,杀印相生,shāyìnxiāngshēng,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:bijiezhengcai,比劫争财,bǐjiézhēngcái,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:shangguanshangjin,伤官伤尽,shāngguānshāngjìn,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:shishenshengcai,食神生财,shíshénshēngcái,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:yinshouhushen,印绶护身,yìnshòuhùshēn,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:guanshahunza,官杀混杂,guānshāhùnzá,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:yangrenjiasha,羊刃驾杀,yángrènjiàshā,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:shangguanpeiyin,伤官配印,shāngguānpèiyìn,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:caixingpoyin,财星破印,cáixīngpòyìn,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:riguige,日贵格,rìguìgé,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:kuigangge,魁罡格,kuígānggé,十神,Kuigang,Kuigang,魁罡,괴강,คุยกาง,Khôi Cương,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:shishen:jinyuge,金舆格,jīnyúgé,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:xuetangge,学堂格,xuétánggé,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:lumatongxiang,禄马同乡,lùmǎtóngxiāng,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:tianganwuhe,天干五合,tiāngānwǔhé,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:jiajihe,甲己合,jiǎjǐhé,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:yigenghe,乙庚合,yǐgēnghé,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:bingxinhe,丙辛合,bǐngxīnhé,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:dingranhe,丁壬合,dīngránhé,十神,—,—,—,—,—,—,,tier2_pending
bazi:shishen:wuguihe,戊癸合,wùguǐhé,十神,—,—,—,—,—,—,,tier2_pending
ziwei:star:ziwei,紫微,zǐwēi,紫微星曜,Ziwei,Ziwei,紫微,자미,จื่อเหวย,Tử Vi,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tianji,天机,tiānjī,紫微星曜,Tianji,Tianji,天機,천기,เทียนจี,Thiên Cơ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:taiyang,太阳,tàiyáng,紫微星曜,Taiyang (Sun),Taiyang (Sol),太陽,태양,ไท่หยาง,Thái Dương,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:wuqu,武曲,wǔqū,紫微星曜,Wuqu,Wuqu,武曲,무곡,อู่ฉวี้,Vũ Khúc,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tiantong,天同,tiāntóng,紫微星曜,Tiantong,Tiantong,天同,천동,เทียนถง,Thiên Đồng,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:lianzhen,廉贞,liánzhēn,紫微星曜,Lianzhen,Lianzhen,廉貞,염정,เหลียนเจิ้น,Liêm Trinh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tianfu,天府,tiānfǔ,紫微星曜,Tianfu,Tianfu,天府,천부,เทียนฝู่,Thiên Phủ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:taiyin,太阴,tàiyīn,紫微星曜,Taiyin (Moon),Taiyin (Luna),太陰,태음,ไท่อิน,Thái Âm,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tanlang,贪狼,tānláng,紫微星曜,Tanlang,Tanlang,貪狼,탐랑,ทานหลาง,Tham Lang,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:jumen,巨门,jùmén,紫微星曜,Jumen,Jumen,巨門,거문,จวี้เหมิน,Cự Môn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tianxiang,天相,tiānxiàng,紫微星曜,Tianxiang,Tianxiang,天相,천상,เทียนเซี่ยง,Thiên Tướng,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tianliang,天梁,tiānliáng,紫微星曜,Tianliang,Tianliang,天梁,천량,เทียนเหลียง,Thiên Lương,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:qisha,七杀,qīshā,紫微星曜,Seven Killings,Siete Asesinatos,七殺,칠살,ฉีซา,Thất Sát,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:pojun,破军,pòjūn,紫微星曜,Pojun,Pojun,破軍,파군,โพจวิน,Phá Quân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:zuofu,左辅,zuǒfǔ,紫微星曜,Zuofu,Zuofu,左輔,좌보,จั่วฝู่,Tả Phụ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:youbi,右弼,yòubì,紫微星曜,Youbi,Youbi,右弼,우필,โยวปี้,Hữu Bật,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:wenchang,文昌,wénchāng,紫微星曜,Wenchang,Wenchang,文昌,문창,เหวินชาง,Văn Xương,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:wenqu,文曲,wénqǔ,紫微星曜,Wenqu,Wenqu,文曲,문곡,เหวินชวี้,Văn Khúc,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tiankui,天魁,tiānkuí,紫微星曜,Tiankui,Tiankui,天魁,천괴,เทียนคุย,Thiên Khuê,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tianyue,天钺,tiānyuè,紫微星曜,Tianyue,Tianyue,天鉞,천월,เทียนเยว่,Thiên Việt,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:lucun,禄存,lùcún,紫微星曜,Lucun,Lucun,祿存,녹존,ลู่ชุน,Lộc Tồn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tianma,天马,tiānmǎ,紫微星曜,Tianma,Tianma,天馬,천마,เทียนหม่า,Thiên Mã,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:qingyang,擎羊,qíngyáng,紫微星曜,Qingyang,Qingyang,擎羊,경양,ชิงหยาง,Kình Dương,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tuoluo,陀罗,tuóluó,紫微星曜,Tuoluo,Tuoluo,陀羅,타라,ถัวลัว,Đà La,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:huoxing,火星,huǒxīng,紫微星曜,Huoxing (Mars),Huoxing (Marte),火星,화성,หัวซิง,Hỏa Tinh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:lingxing,铃星,língxīng,紫微星曜,Lingxing,Lingxing,鈴星,영성,หลิงซิง,Linh Tinh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:dikong,地空,dìkōng,紫微星曜,Dikong,Dikong,地空,지공,ตี้คง,Địa Không,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:dijie,地劫,dìjié,紫微星曜,Dijie,Dijie,地劫,지격,ตี้เจี้ย,Địa Kiếp,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tianxing,天刑,tiānxíng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:tianyao,天姚,tiānyáo,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:hongluan,红鸾,hóngluán,紫微星曜,Hongluan,Hongluan,紅鸞,홍란,หงหลวน,Hồng Loan,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tianxi,天喜,tiānxǐ,紫微星曜,Tianxi (Sky Joy),Tianxi (Alegría celeste),天喜,천희,เทียนซี,Thiên Hỷ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:guchen,孤辰,gūchén,紫微星曜,Solitude Star,Estrella de la soledad,孤辰,고진,กูเฉิน,Cô Thần,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:guasu,寡宿,guǎsù,紫微星曜,Widowhood Star,Estrella de la viudez,寡宿,과수,กวาซิ่ว,Quả Tú,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:tianxu,天虚,tiānxū,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:tiangui,天贵,tiānguì,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:enguang,恩光,ēnguāng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:tiankong,天空,tiānkōng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:hualu,化禄,huàlù,紫微星曜,Hualu,Hualu,化祿,화록,ฮัวลก,Hóa Lộc,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:huaquan,化权,huàquán,紫微星曜,Huaquan,Huaquan,化權,화권,ฮัวเชวน,Hóa Quyền,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:huake,化科,huàkē,紫微星曜,Huake,Huake,化科,화과,ฮัวเค,Hóa Khoa,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:huaji,化忌,huàjì,紫微星曜,Huaji,Huaji,化忌,화기,ฮัวกี้,Hóa Kỵ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:star:junchenqinghui,君臣庆会,jūnchénqìnghuì,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:jixiangliming,极向离明,jíxiànglímíng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:zifutonggong,紫府同宫,zǐfǔtónggōng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:shapolang,杀破狼,shāpòláng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:jiyuetongliang,机月同梁,jīyuètóngliáng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:juritonggong,巨日同宫,jùrìtónggōng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:rizhaoleimen,日照雷门,rìzhàoléimén,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:yueshenghangcang,月生沧海,yuèshēnghāngcāng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:huotange,火贪格,huǒtāngé,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:matoudaijian,马头带箭,mǎtóudàijiàn,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:shizhongyinyu,石中隐玉,shízhōngyǐnyù,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:ziweimiaowang,紫微庙旺,zǐwēimiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:taiyangmiaowang,太阳庙旺,tàiyángmiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:wuqumiaowang,武曲庙旺,wǔqūmiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:taiyinmiaowang,太阴庙旺,tàiyīnmiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:tiantongmiaowang,天同庙旺,tiāntóngmiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:lianzhenmiaowang,廉贞庙旺,liánzhēnmiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:tianfumiaowang,天府庙旺,tiānfǔmiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:tianxiangmiaowang,天相庙旺,tiānxiàngmiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:tianliangmiaowang,天梁庙旺,tiānliángmiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:qishamiaowang,七杀庙旺,qīshāmiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
ziwei:star:pojunmiaowang,破军庙旺,pòjūnmiàowàng,紫微星曜,—,—,—,—,—,—,,tier2_pending
common:term:minggong,命宫,mìnggōng,基础,Life Palace,Palacio de la Vida,命宮,명궁,เหมิงกง,Mệnh Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
common:term:shengong,身宫,shēngōng,基础,—,—,—,—,—,—,,tier2_pending
common:term:sizhu,四柱,sìzhù,基础,Four Pillars,Cuatro Pilares,四柱,사주,สื่อจู่,Tứ Trụ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
common:term:bazi,八字,bāzì,基础,BaZi,BaZi,八字,팔자,ปาจื่อ,Bát Tự,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
common:term:zhentaiyangshi,真太阳时,zhēntàiyángshí,基础,—,—,—,—,—,—,,tier2_pending
common:term:jieqi,节气,jiéqì,基础,—,—,—,—,—,—,,tier2_pending
common:term:nayin,纳音,nàyīn,基础,—,—,—,—,—,—,,tier2_pending
common:term:gongwei,宫位,gōngwèi,基础,—,—,—,—,—,—,,tier2_pending
common:term:sanfangsizheng,三方四正,sānfāngsìzhèng,基础,—,—,—,—,—,—,,tier2_pending
common:term:wuxingshengke,五行生克,wǔxíngshēngkè,基础,—,—,—,—,—,—,,tier2_pending
common:term:yongshen,用神,yòngshén,基础,—,—,—,—,—,—,,tier2_pending
common:term:wangshuai,旺衰,wàngshuāi,基础,—,—,—,—,—,—,,tier2_pending
common:term:dayun,大运,dàyùn,基础,Luck Pillar,Pilar de la suerte,大運,대운,ไต่อวิ้น,Đại Vận,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
common:term:liunian,流年,liúnián,基础,Annual Luck,Suerte anual,流年,유년,หลิวเหนียน,Lưu Niên,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
common:term:liuyue,流月,liúyuè,基础,—,—,—,—,—,—,,tier2_pending
common:term:kongwang,空亡,kōngwáng,基础,Void,Vacío,空亡,공망,คงหวาง,Không Vong,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
common:term:taiyuan,胎元,tāiyuán,基础,—,—,—,—,—,—,,tier2_pending
common:term:minggongqifa,命宫起法,mìnggōngqǐfǎ,基础,—,—,—,—,—,—,,tier2_pending
common:term:shiergongming,十二宫名,shíèrgōngmíng,基础,—,—,—,—,—,—,,tier2_pending
common:term:rizhu,日主,rìzhǔ,基础,—,—,—,—,—,—,,tier2_pending
common:term:yueling,月令,yuèlìng,基础,—,—,—,—,—,—,,tier2_pending
common:term:geju,格局,géjú,基础,—,—,—,—,—,—,,tier2_pending
common:term:tiaohou,调候,tiáohòu,基础,—,—,—,—,—,—,,tier2_pending
common:term:tongguan,通关,tōngguān,基础,—,—,—,—,—,—,,tier2_pending
